Regime,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Num Seeds,Val Solved Mean,Val Solved Std,Val Exec Mean,Val Exec Std,Val Avg Plan Len Mean,Val Avg Plan Len Std,Interp Solved Mean,Interp Solved Std,Interp Exec Mean,Interp Exec Std,Interp Avg Plan Len Mean,Interp Avg Plan Len Std,Extrap Solved Mean,Extrap Solved Std,Extrap Exec Mean,Extrap Exec Std,Extrap Avg Plan Len Mean,Extrap Avg Plan Len Std
all_domains,visitall-from-everywhere,wl,xgboost,delta,1164,union,3,100.00%,0.00%,100.00%,0.00%,18.83,0.00,100.00%,0.00%,100.00%,0.00%,8.68,0.00,100.00%,0.00%,100.00%,0.00%,61.37,0.00
all_domains,blocks,simhash,lstm,state,128,pooled,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,73.56,4.63,0.00%,0.00%,100.00%,0.00%,125.00,0.00
all_domains,gripper,simhash,lstm,state,128,pooled,3,33.33%,23.57%,100.00%,0.00%,104.00,22.06,55.56%,15.71%,100.00%,0.00%,52.67,4.71,79.17%,5.89%,100.00%,0.00%,136.90,7.40
all_domains,logistics,simhash,lstm,state,128,pooled,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,14.81%,10.48%,100.00%,0.00%,132.74,2.18,0.00%,0.00%,100.00%,0.00%,293.33,0.00
all_domains,visitall-from-everywhere,simhash,lstm,state,128,pooled,3,83.33%,0.00%,100.00%,0.00%,57.21,0.00,97.30%,0.00%,100.00%,0.00%,14.25,0.09,38.66%,2.75%,100.00%,0.00%,397.32,3.15
all_domains,blocks,simhash,lstm,delta,128,pooled,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,120.50,0.00
all_domains,gripper,simhash,lstm,delta,128,pooled,3,50.00%,0.00%,100.00%,0.00%,32.50,0.00,33.33%,0.00%,100.00%,0.00%,32.11,12.89,25.00%,0.00%,100.00%,0.00%,238.58,0.94
all_domains,logistics,simhash,lstm,delta,128,pooled,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,7.41%,5.24%,100.00%,0.00%,132.70,2.81,0.00%,0.00%,100.00%,0.00%,293.33,0.00
all_domains,visitall-from-everywhere,simhash,lstm,delta,128,pooled,3,40.28%,1.96%,100.00%,0.00%,106.43,0.38,70.27%,2.21%,100.00%,0.00%,26.40,0.67,7.00%,0.78%,100.00%,0.00%,414.58,2.49
all_domains,blocks,simhash,xgboost,state,128,pooled,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,0.00%,0.00%,100.00%,0.00%,86.00,0.00,0.00%,0.00%,100.00%,0.00%,125.00,0.00
